Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,GRDonations,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,isPartOfOPTreasury,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TrustedSeedMember,GivethActivity,TotalScore
0x012345629F688F406cE29f442a9658d9bD072544,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x9a9B8DbCd08743Ae0f75eD48eDBB5db75814089b,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,4,false,false,300
0x02B44d2d429aff8227846EFf67FEa20b720c8645,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x978f2476D6aaA35f07e1d96449657f7C06759293,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0xC865eb005feDa68Ad94a8f357D3C01Fa129E203C,false,false,0.00,0,false,0,1,0,1,false,false,false,false,false,false,false,128600,false,false,710
0x7216Fd13bD6904A08dCa3f393Bc3908Bb7Ed3ad2,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x17841f81e2F043E0a5433Ba5A8f6376C8D91C536,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x3fF3C97cA7dCa572111A89Dd165ffB20A1bFb60b,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,false,false,2128.71,0,false,1,3,1,1,false,false,false,false,false,false,false,26,false,false,1520
0x429f9ada43e9f345cbb85ec88681bb70df808892,false,false,745.55,0,false,3,4,1,1,false,false,false,false,false,false,false,139,false,false,1510
0x406b607644c5d7bfda95963201e45a4c6ab1c159,false,false,5.00,0,false,0,1,1,1,false,false,false,false,false,false,false,1,false,false,1210
0xa6e8772af29b29b9202a073f8e36f447689beef6,false,false,1190.27,0,false,0,4,1,1,false,false,false,false,false,false,false,1,false,false,1210
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,false,15598.93,887.86,0,false,0,2,1,1,false,false,false,false,1,false,1,23,Pending to mint,1,1750
