Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,isPartOfOPTreasury,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TotalScore
0xE50CefF4eCDe1a76AFc5153A99e5C7F84d1D25c8,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xC7bF5DA444C923AAA80d77d288e86F3246dd4170,1,false,0.00,false,1,1,0,1,false,false,false,false,false,false,false,7,660
0x16e8D400eD871fb5E74A2dB3c680838C9D383a26,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xdf8f53B9f83e611e1154402992c6F6CB7Daf246c,1,false,false,false,3,1,0,1,false,1,false,false,false,false,false,18,650
0xF2283b9c60BDBaF9B0C41b2F52907AF7362a3302,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xe5F470E376554fB613A43FDe223e40a3bb338765,1,false,false,false,0,1,1,1,false,1,false,false,1,14.72,false,13,1160
0x534a223FB3aA8F774f32907086AD6A0aA554295E,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x152ad2E12E102aBF64280C5e3d70257EFfb0EDe0,1,false,2.91,false,1,1,0,1,false,false,false,false,false,20.75,false,9,670
0xEFCDc3A4164846b7e39C4708a7C816f4459F26bF,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xd11256d99f8833beE0B99203DDcfe4cd6c823d8D,1,false,176.83,false,1,0,0,1,1,1,1,false,1,24.80,8,58,470
0x7221B104fba7701084759FD25FacA19Ac6300855,1,false,1190.27,false,0,1,0,false,false,1,false,false,false,false,false,false,640
0xc91d300D342eC4EBbC61B3AE75dc5D7245109dD9,false,false,false,false,0,0,0,1,1,1,1,false,1,false,false,4,60
0x9959ddA625ba12809849F9b0F44E660C0f136733,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xA0A1A1736D98C835BD2608ABFE242bA7E65D2126,1,false,false,false,0,1,0,1,false,false,false,false,false,false,false,30,630
0x072e83cdE5c102fDCF32BE328034E1bB2DADCB01,1,false,6.00,false,0,1,0,1,false,false,false,false,false,false,false,10,640
0x9Aa6Db877742aD8D8c7fE209F561fbd2bE19D5F4,1,false,1462.10,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xEFA21088F3830cD7d9f526eA268f7AabA34F785F,1,false,false,false,0,1,0,1,false,false,false,false,false,false,false,6,640
0xDF00e071996dE3336899bBd5722592b3D972E788,1,false,827.76,false,0,1,0,false,false,false,false,false,false,false,false,false,630
0xc154eB56388c8ce13492B3b149D451bb1B42AC5B,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x9542225b26ae10B4c47625D75DA5123d838b30d8,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0x92b0fd2bd1991b2bdbb1306a719bd45dbfa46768,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xb19DF2BCe7c036B69b20180413b58012Fa328e58,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x5B93FF82faaF241c15997ea3975419DDDd8362c5,1,false,0.50,false,0,1,0,1,false,false,false,false,false,false,false,113,640
0xED77A2406bb16f56a5Dc5CC6D893f6500585A115,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x9e476f951Dc5aF8E4f7fD02C78f0CD765A25C8C0,false,false,false,false,0,0,0,1,false,false,false,false,false,false,false,2,30
0x8041748a2A16e9B7A3980107f4376774421642c8,false,false,false,false,0,0,0,false,false,false,false,false,false,false,2,false,50
0x57F908C42F5a0e5DBBd3c35a137cC242cF89Add6,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x181e1ff49CAe7f7c419688FcB9e69aF2f93311da,false,false,false,false,1,0,0,1,false,false,false,false,false,false,false,1,40
0x6432c098bfedA15Dd4d0692C46bDB43091a95171,1,false,false,false,0,0,0,1,false,false,false,false,false,false,false,7,230
0x38Dfd788DB4CFaB7b9Da57b06CfC06C6E0f33C3b,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x7fCFeb41316C67cA985C652e639367762D5E98dA,1,false,false,false,0,0,0,1,false,false,false,false,false,false,false,4,230
0xc2fB4B3EA53E10c88D193E709A81C4dc7aEC902e,1,false,false,false,0,0,0,1,false,false,false,false,1,false,1,20,270
0xF0dA4128a4ED2eD3fFE5d8618a6E002F338b8E52,1,false,false,false,0,1,0,1,false,false,false,false,false,false,false,14,630
0xD5288ED50a195017E5B30595F65091a7767817a4,false,36.51,false,false,1,0,0,1,1,1,false,false,1,false,1,44,100
0x5832834966933beC942Bb06a3B55dd1176cbDDD2,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xd6f5646D9E7FbeE7CC907EB8e12dAFA5378431E6,1,false,2665.33,false,0,1,0,1,false,false,false,false,false,12.18,false,2,660
0xae9A1Bbd8A53E6BD845D1b493CD174E6B0531eb8,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x6fD155b9D52F80E8A73a8A2537268602978486e2,1,false,false,false,1,0,0,1,false,false,false,false,false,false,false,8,240
0x63960487872023231e4C3fbdE536c34E2C93De55,1,false,408.98,false,1,1,1,1,false,false,false,false,1,false,false,61,1160
0xed8DB37778804A913670d9367aAf4F043AAd938b,1,false,false,false,3,1,0,1,false,1,1,false,false,6.08,1,55,710
0xB81E88279F3208001AEdA20689d3E5d818758dbf,1,false,5.47,false,1,1,0,1,false,false,false,false,false,false,false,160,650
0x52fA3cD7C8926CF515a454658A27d710CF447b2f,1,false,4.95,false,0,1,0,1,false,false,false,false,false,false,false,14,640
0x1026eFFaE689c49F3655e74DC45C8869E3f6Fd35,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xB1B7586656116D546033e3bAFF69BFcD6592225E,1,false,2018.03,false,0,1,0,false,false,false,false,false,false,false,false,false,630
0x00432996c5Cf8200CF208200613aec2329be0e39,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xD70A0999e4AFcD794Ae01dD7194f34D60e5e21F4,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x177a68f3C836a2a37a3c594CD16004d7B9589476,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x884Ff907D5fB8BAe239B64AA8aD18bA3f8196038,1,false,600.58,false,0,1,0,1,false,1,1,false,false,false,false,104,680
