ETH Addresses,TRUST Score On Chain,TRUST Score Off Chain
0x40Dc654af5cE40C122ffDC679fa8E8ca8b91556A,,"2,583"
0xf8A798764a7c12e031B05C0F4aCde7A950eF71A0,"6,835",
0xED23B82A6b1b0d2e75b87c01B0FDc7fCfb49f456,"1,125",
0xc7D0Fd6DD83955B027f0f038c861D7D031c59785,,"2,599"
0xB2d60143097b4F992BfBE955a22dbb2AcD9a8EAb,"3,932",
0x17a7E7F6A493d137E84B4420575527f6Ef725F8C,,"2,849"
0x7D678b9218aC289e0C9F18c82F546c988BfE3022,,"2,500"
0x196213afd9905777e7D0582E8eDD4cf6870AA1D4,,"2,485"
0x6636A1CCBdf54485067304C1a590DE016DeaD9F0,"2,469",
0x1308D923E02c38492962D75C26e487ffCdCe821C,,"2,532"
0xeebc0fF65BaEaFBd971fF01b0E28aabD379936Ad,"2,250",
0x3EB717F284Ea6ef65B9d770694bBC6C7E1b1DD84,,"3,157"
0x02317BB3f16cE21e9239C217B21Bd18Aa24ab0D3,,"2,459"
0x5b0F8D8f47E3fDF7eE1c337AbCA19dBba98524e6,"12,184",
0x56E9cbe44e612AaD90737fcD911c4756423c533a,,"2,423"
0xdBf4C24BCe4896A2Ea14Ce1e84C5245217E60FA8,,"2,367"
0x9dE0c4bcC1FB8fAaB56Aa04C2E18fB3D8B694bBb,,"2,380"
0x63A32F1595a68E811496D820680B74A5ccA303c5,,"2,325"
0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,"3,606",
0xfbcd4a6c3Ce9388C079d3D4B2c0FB0766E90604e,Pending to mint,"2,272 "
0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,"5,003",
0xf9EC80A5d637Ff06F14d829f6AdDCa3147A3F691,"1,125",
0x34aA3F359A9D614239015126635CE7732c18fDF3,,"2,250"
0x874b3e815B02D3DCD5008FDEE96127c16292Ba1f,,"2,249"
0x57F540a736a647EF2d2Ef9Cd823C4a4e655858a4,"7,109",
0x4194cE73AC3FBBeCE8fFa878c2B5A8C90333E724,,"2,194"
0x8B580433568E521ad351b92b98150c0C65ce69B7,,"2,261"
0x38f80f8f76B1C44B2beeFB63bb561F570fb6ddB6,"8,707",
0x9F082e184259D2F7089DF5CED36679BB88bfe123,,"2,184"
0xf9299c8663D195481cd54b6F7e32bb45aD1C9a2b,,"2,103"
0x69E3c9f8A735DDCccFBAd2Dabde9963d55202988,,"2,072"
0xE50CefF4eCDe1a76AFc5153A99e5C7F84d1D25c8,,"2,061"
0xC7bF5DA444C923AAA80d77d288e86F3246dd4170,,"2,053"
0x16e8D400eD871fb5E74A2dB3c680838C9D383a26,,"2,047"
0xdf8f53B9f83e611e1154402992c6F6CB7Daf246c,"2,042",
0xF2283b9c60BDBaF9B0C41b2F52907AF7362a3302,,"2,019"
0xe5F470E376554fB613A43FDe223e40a3bb338765,,"2,184"
0x534a223FB3aA8F774f32907086AD6A0aA554295E,,"2,000"
0x152ad2E12E102aBF64280C5e3d70257EFfb0EDe0,,"1,991"
